Ticker,Date,Open,High,Low,Close,Adj Close,Volume
DOCU,1/5/2023,57.32,57.43,53.900002,53.93,53.93,4595600
DOCU,1/6/2023,54.165001,54.91,52.169998,54.540001,54.540001,3911800
DOCU,1/9/2023,55.450001,57.25,55.34,56.509998,56.509998,5135700
DOCU,1/10/2023,55.25,58.599998,55.241001,58.049999,58.049999,5714100
DOCU,1/11/2023,58.040001,60.091,57.419998,59.599998,59.599998,4309700
DOCU,1/12/2023,59.91,60.5,57.75,58.700001,58.700001,4635200
DOCU,1/13/2023,57.834999,58.849998,57.279999,58.34,58.34,2937900
SNAP,1/18/2022,36.98,36.985001,35.619999,35.700001,35.700001,37008100
SNAP,1/19/2022,36.029999,36.48,34.759998,35.049999,35.049999,23942000
SNAP,1/20/2022,35.799999,37.105,34.915001,34.990002,34.990002,21672700
SNAP,1/21/2022,34,34.619999,32,32.119999,32.119999,37648400
SNAP,1/24/2022,30.16,31.809999,28.02,31.799999,31.799999,46502200
SNAP,1/25/2022,31.01,32.09,30.084999,30.66,30.66,26893800
SNAP,1/26/2022,31.379999,31.91,28.16,28.629999,28.629999,35467300
SNAP,1/27/2022,29.629999,30.67,28.17,28.299999,28.299999,35331900
SNAP,1/28/2022,28.629999,30.48,28.129999,30.42,30.42,28380500
SNAP,1/31/2022,30.65,32.630001,30.65,32.540001,32.540001,25872900
SNAP,2/1/2022,34.130001,34.200001,32.209999,33.66,33.66,28108900
SNAP,2/2/2022,34.150002,34.244999,31.73,32.07,32.07,41654600
SNAP,2/3/2022,25.74,26.49,24.32,24.5,24.5,149336000
SNAP,2/4/2022,35.27,40.650002,34.099998,38.91,38.91,308602500
SNAP,2/7/2022,38.509998,39.59,37.52,37.880001,37.880001,96743300
SNAP,2/8/2022,35.509998,37.759998,34.869999,37.560001,37.560001,85621100
SNAP,2/9/2022,37.740002,40.330002,37.110001,40.279999,40.279999,67166800
SNAP,2/10/2022,38.509998,41.970001,38.505001,40.619999,40.619999,65264300
SNAP,2/11/2022,40.380001,41.970001,39.07,39.490002,39.490002,42826900
SNAP,2/14/2022,39.959999,41.889999,39.5,39.619999,39.619999,37579800
SNAP,2/15/2022,40.16,41.459999,39.939999,41.43,41.43,26091600
SNAP,2/16/2022,38.959999,40.599998,38.959999,40.009998,40.009998,35643500
SNAP,2/17/2022,40.450001,40.82,39.169998,39.450001,39.450001,24624400
SNAP,2/18/2022,39.610001,40.400002,37.939999,38.009998,38.009998,23064200
